registry_version,split,adapter_family,task_family,claim_type,score_rows,seed_rows,report_rows,missing_pass_rows,successes,trials,pass_rate,wilson_low,wilson_high,median_rank,median_margin
claimtransfer_v0_public,public,epim_pairverify,bilinear,candidate_pair,870,210,1,0,855,870,0.9827586206896551,0.9717484355697662,0.9895241795128759,1.0,
claimtransfer_v0_public,public,epim_pairverify,bilinear,endpoints,870,210,1,0,853,870,0.9804597701149426,0.9689302386586909,0.9877648877807006,1.0,
claimtransfer_v0_public,public,epim_pairverify,bilinear,pair,1740,420,2,0,1713,1740,0.9844827586206897,0.9775169562312914,0.989313976119445,1.0,0.5574368655992051
claimtransfer_v0_public,public,epim_pairverify,bilinear,prediction,870,210,1,0,833,870,0.957471264367816,0.9419301913376089,0.9689900486692756,,
claimtransfer_v0_public,public,epim_pairverify,correlated_covariates,candidate_pair,24,12,1,0,14,24,0.5833333333333334,0.3883433764938864,0.7553265275346177,1.0,
claimtransfer_v0_public,public,epim_pairverify,correlated_covariates,endpoints,24,12,1,0,14,24,0.5833333333333334,0.3883433764938864,0.7553265275346177,,
claimtransfer_v0_public,public,epim_pairverify,correlated_covariates,pair,24,12,1,0,14,24,0.5833333333333334,0.3883433764938864,0.7553265275346177,1.0,6.848171051210001e-05
claimtransfer_v0_public,public,epim_pairverify,division_mixed,candidate_pair,870,210,1,0,870,870,1.0,0.9956037799070222,1.0,1.0,
claimtransfer_v0_public,public,epim_pairverify,division_mixed,endpoints,870,210,1,0,870,870,1.0,0.9956037799070222,1.0,1.0,
claimtransfer_v0_public,public,epim_pairverify,division_mixed,pair,1740,420,2,0,102,1740,0.05862068965517241,0.04852443046072224,0.07066162405248584,2.0,-0.103080374499162
claimtransfer_v0_public,public,epim_pairverify,division_mixed,prediction,870,210,1,0,831,870,0.9551724137931035,0.9393062456946502,0.9670365056689838,,
claimtransfer_v0_public,public,epim_pairverify,mixed_sparse,candidate_pair,1614,414,4,0,1170,1614,0.724907063197026,0.702605959797335,0.7461400731888362,148.25,
claimtransfer_v0_public,public,epim_pairverify,mixed_sparse,endpoints,1614,414,4,0,1011,1614,0.6263940520446096,0.6025188034141469,0.6496690498342799,28.0,
