registry_version,split,task_family,task_id,adapter_family,adapter,evidence_object,claim_type,scorer,predicate,rows,seeds,missing_pass_rows,successes,trials,pass_rate,wilson_low,wilson_high,median_rank,median_margin,median_raw_value
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,epim_pairverify,EPIM-PairVerify,epim_endpoint_proposal,endpoints,EPIM,binary_true,870,210,0,853,870,0.9804597701149426,0.9689302386586909,0.9877648877807006,1.0,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,epim_pairverify,EPIM-PairVerify,epim_pair_proposal,candidate_pair,EPIM,binary_true,870,210,0,855,870,0.9827586206896551,0.9717484355697662,0.9895241795128759,1.0,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,epim_pairverify,EPIM-PairVerify,pairverify_practical,pair,candidate_functional_anova,binary_true,870,210,0,855,870,0.9827586206896551,0.9717484355697662,0.9895241795128759,1.0,0.5574368655992051,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,epim_pairverify,EPIM-PairVerify,pairverify_probe,pair,candidate_functional_anova_oracle,binary_true,870,210,0,858,870,0.9862068965517241,0.9760463368519906,0.9920925111955273,1.0,0.5574368655992051,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,epim_pairverify,EPIM-PairVerify,prediction,prediction,mse,mse_lt,870,210,0,833,870,0.957471264367816,0.9419301913376089,0.9689900486692756,,,0.0004240571870468
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,ga2m_spline,ga2m_spline,additive_spline_group_norm,support,ga2m_spline,contains_all,80,80,0,1,80,0.0125,0.002209918618306224,0.06746432423965451,,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,ga2m_spline,ga2m_spline,endpoint_selection,endpoints,ga2m_spline,binary_true,80,80,0,80,80,1.0,0.954180263735425,1.0,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,ga2m_spline,ga2m_spline,prediction,prediction,mse,mse_lt,80,80,0,80,80,1.0,0.954180263735425,1.0,,,0.0016347157070413002
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,ga2m_spline,ga2m_spline,spline_additive_plus_tensor_pair_screen,pair,ga2m_spline,rank_at_budget,80,80,0,80,80,1.0,0.954180263735425,1.0,1.0,0.4558915377738285,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,gbm_hstat,gbm_hstat,endpoint_selection,endpoints,gbm_hstat,binary_true,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,gbm_hstat,gbm_hstat,gbm_functional_h_statistic,pair,gbm_hstat,rank_at_budget,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,1.0,0.10480740384650025,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,gbm_hstat,gbm_hstat,prediction,prediction,mse,mse_lt,122,120,0,0,122,0.0,0.0,0.0305272660233182,,,0.2681026107708188
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,gbm_hstat,gbm_hstat,top_hstat_pair_endpoints,support,gbm_hstat,contains_all,122,120,0,0,122,0.0,0.0,0.0305272660233182,,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN,exposed_readout,endpoints,KAN-FE,top_m_contains_all,248,192,0,236,248,0.9516129032258065,0.9173407584232144,0.9721072120471131,2.0,0.9795937758838892,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN,full_function,pair,functional_anova,rank1,248,192,0,237,248,0.9556451612903226,0.9223339965597022,0.9750554736469677,1.0,0.5349832269518326,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN,prediction,prediction,mse,mse_lt,248,192,0,232,248,0.9354838709677419,0.8977802914099748,0.9599016801149836,,,0.0004119009681744
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN,pruning,endpoints,prune_input,binary_true,248,192,0,248,248,1.0,0.9847459673064339,1.0,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN,selected_support,support,KAN-FE,contains_all,248,192,0,236,248,0.9516129032258065,0.9173407584232144,0.9721072120471131,,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN,support_refit,pair,functional_anova,rank1,248,192,0,248,248,1.0,0.9847459673064339,1.0,1.0,0.5672684350574855,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN,symbolic,symbolic_status,pyKAN_symbolic,binary_true,248,192,0,248,248,1.0,0.9847459673064339,1.0,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN-scorergram,pair_scorer,pair,anova_abs,rank_at_budget,41,41,0,41,41,1.0,0.9143295511310926,1.0,1.0,0.5839615613222122,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN-scorergram,pair_scorer,pair,epim,rank_at_budget,49,49,0,44,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,1.0,0.9769584910253388,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN-scorergram,pair_scorer,pair,fd,rank_at_budget,41,41,0,41,41,1.0,0.9143295511310926,1.0,1.0,2.101082444190979,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN-scorergram,pair_scorer,pair,hessian,rank_at_budget,17,17,0,17,17,1.0,0.8156763396284354,1.0,1.0,2.10631612688303,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN-scorergram,pair_scorer,pair,hybrid_epim_anova,rank_at_budget,41,41,0,41,41,1.0,0.9143295511310926,1.0,1.0,0.993764693600392,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,pyKAN,pyKAN-scorergram,prediction,prediction,mse,mse_lt,189,49,0,188,189,0.9947089947089947,0.9706423605812214,0.9990654203125277,,,0.0003422566805966
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_lasso,sparse_lasso,endpoint_selection,endpoints,sparse_lasso,binary_true,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_lasso,sparse_lasso,main_effect_coefficients,support,sparse_lasso,contains_all,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_lasso,sparse_lasso,prediction,prediction,mse,mse_lt,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,,,7.509815986850299e-05
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_lasso,sparse_lasso,sparse_library_coefficients,pair,sparse_lasso,rank_at_budget,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,1.0,0.7501380145549774,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_spline_lasso,sparse_spline_lasso,endpoint_selection,endpoints,sparse_spline_lasso,binary_true,122,120,0,114,122,0.9344262295081968,0.8759272350076931,0.9664015338572928,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_spline_lasso,sparse_spline_lasso,main_effect_coefficients,support,sparse_spline_lasso,contains_all,122,120,0,114,122,0.9344262295081968,0.8759272350076931,0.9664015338572928,,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_spline_lasso,sparse_spline_lasso,prediction,prediction,mse,mse_lt,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,,,0.0002901143598137
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,sparse_spline_lasso,sparse_spline_lasso,sparse_library_coefficients,pair,sparse_spline_lasso,rank_at_budget,122,120,0,122,122,1.0,0.9694727339766817,0.9999999999999999,1.0,0.7526186342875008,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,symbolic_lasso,symbolic_lasso,endpoint_selection,endpoints,symbolic_lasso,binary_true,80,80,0,80,80,1.0,0.954180263735425,1.0,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,symbolic_lasso,symbolic_lasso,fixed_symbolic_library_coefficients,pair,symbolic_lasso,rank_at_budget,80,80,0,80,80,1.0,0.954180263735425,1.0,1.0,0.7480146884918213,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,symbolic_lasso,symbolic_lasso,fixed_symbolic_library_coefficients,symbolic_complexity,symbolic_lasso,complexity_le,80,80,0,0,80,0.0,0.0,0.0458197362645751,,,6300.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,symbolic_lasso,symbolic_lasso,fixed_symbolic_library_coefficients,symbolic_status,symbolic_lasso,binary_true,80,80,0,80,80,1.0,0.954180263735425,1.0,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,symbolic_lasso,symbolic_lasso,prediction,prediction,mse,mse_lt,80,80,0,80,80,1.0,0.954180263735425,1.0,,,1.3933929949416779e-05
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,symbolic_lasso,symbolic_lasso,symbolic_main_terms,support,symbolic_lasso,contains_all,80,80,0,80,80,1.0,0.954180263735425,1.0,,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-extra-path_pair_endpoint,candidate_gate,endpoints,path_pair_endpoint,binary_true,40,40,0,40,40,1.0,0.9123754607496077,1.0,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-extra-path_pair_endpoint,candidate_pairs,candidate_pair,path_pair_endpoint,binary_true,40,40,0,40,40,1.0,0.9123754607496077,1.0,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-extra-path_pair_endpoint,prediction,prediction,mse,mse_lt,40,40,0,0,40,0.0,0.0,0.08762453925039232,,,0.4783682562794376
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-extra-path_pair_endpoint,verified_candidate_pairs,pair,candidate_functional_anova,rank_at_budget,40,40,0,17,40,0.425,0.28509168524815875,0.5780519956394001,2.0,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-tree-gate,candidate_gate,endpoints,gate,binary_true,60,60,0,60,60,1.0,0.9398260695220669,0.9999999999999999,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-tree-gate,candidate_pairs,candidate_pair,gate,binary_true,60,60,0,60,60,1.0,0.9398260695220669,0.9999999999999999,,,1.0
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-tree-gate,prediction,prediction,mse,mse_lt,60,60,0,0,60,0.0,0.0,0.06017393047793289,,,0.4481303925287483
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024,tree_gate,TreeGate-tree-gate,verified_candidate_pairs,pair,candidate_functional_anova,rank_at_budget,60,60,0,33,60,0.55,0.42491714548981496,0.6690654614623918,1.0,,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024_noise0p05,pyKAN,pyKAN,exposed_readout,endpoints,KAN-FE,top_m_contains_all,200,184,0,197,200,0.985,0.9568335194437211,0.9948858548155076,3.0,0.755650161329984,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024_noise0p05,pyKAN,pyKAN,full_function,pair,functional_anova,rank1,200,184,0,195,200,0.975,0.9428208558483829,0.9892754385292123,1.0,0.5119080448833604,
claimtransfer_v0_public,public,bilinear,bilinear_d100_n1024_noise0p05,pyKAN,pyKAN,prediction,prediction,mse,mse_lt,200,184,0,171,200,0.855,0.7995121871510563,0.8971071486469359,,,0.03789634071290485
